Year,coal-igcc-ccs-new,coal-igcc-new,csp-new,ng-cc-ccs-new,ng-cc-new,ng-ct-new,nuc-st-new,pv-new,wind-new
1,59290,40410,85030,27480,14040,6970,121130,15190,26220
old,73964.8,52191.92,56000,32278.32,14488.16,7305.04,94721,11999,50417
,,,,,,,,,
