Year,coal-igcc-ccs-new,coal-igcc-new,csp-new,ng-cc-ccs-new,ng-cc-new,ng-ct-new,nuc-st-new,pv-new,wind-new
1,10.93 ,4.48 ,0.00,5.82 ,2.54 ,4.48 ,2.36 ,0.00,0.00
old,8.57504,7.33552,4,6.88848,3.48996,13.11148,2.17424,0,0
,,,,,,,,,
