Time,total_investment_cost,variable_operating_cost,fixed_operating_cost,startup_cost,thermal_generator_cost,extending_thermal_generator_cost,renewable_generator_cost,extending_renewable_generator_cost,storage_investment_cost,penalty_cost,renewable_capacity,thermal_capacity,transmission_line_cost,coal_capacity,natural_gas_capacity,nuclear_capacity,solar_capacity,wind_capacity,total_capacity,power_flow,solar_energy_generated,wind_energy_generated,nuclear_energy_generated,coal_energy_generated,natural_gas_energy_generated,total_energy_generated,Northeast coal,Northeast natural gas,Northeast nuc,Northeast solar,Northeast wind,West coal,West natural gas,West nuc,West solar,West wind,Coastal coal,Coastal natural gas,Coastal nuc,Coastal solar,Coastal wind,South coal,South natural gas,South nuc,South solar,South wind,Panhandle coal,Panhandle natural gas,Panhandle nuc,Panhandle solar,Panhandle wind
1,5299.828903,7327.72732,2327.791721,122.2634838,2966.549428,82.36398165,958.6674884,49.66355025,0,21.20872502,3715.07994,79887.1093,1242.584454,17397.0002,57326.1091,5164,663.1,22114.7996,83602.18924,"{'Northeast': {'Northeast': 0, 'West': 6.115795302352019, 'Coastal': 6.371411710837438, 'South': 0.0, 'Panhandle': 0}, 'West': {'Northeast': 7.464501894085431, 'West': 0, 'Coastal': 0, 'South': 18.062420867572854, 'Panhandle': 0}, 'Coastal': {'Northeast': 1.3452282110693918, 'West': 0, 'Coastal': 0, 'South': 4.780910956021281, 'Panhandle': 0}, 'South': {'Northeast': 0, 'West': 1.828929374591109, 'Coastal': 3.03905530103186, 'South': 0, 'Panhandle': 0}, 'Panhandle': {'Northeast': 31.57491783001827, 'West': 0.0, 'Coastal': 0, 'South': 0, 'Panhandle': 0}}",1.217961069,103.967533,44.23511263,111.7400593,120.5760807,381.7367467,8747.9997,20668.0325,2460,0,2218.061328,650,3695.9001,0,399.4,10273.6972,2504,15317.025,2704,0,2047.4006,5495.0005,17286.1515,0,263.7,1768.8,0,359,0,0,5806.840472
2,2919.716223,11303.85879,2334.868437,133.402165,2073.25332,0,742.1292442,7.755602112,0,2.557496014,3950.57994,86231.8843,96.57805675,17397.0002,63670.8841,5164,663.1,23684.7996,90182.46424,"{'Northeast': {'Northeast': 0, 'West': 2.5178964197728186, 'Coastal': 7.844706168608109, 'South': 0.0, 'Panhandle': 0.42310549292146193}, 'West': {'Northeast': 8.256135213401505, 'West': 0, 'Coastal': 0, 'South': 19.268501171137576, 'Panhandle': 1.5474412756801195}, 'Coastal': {'Northeast': 1.2798355269314377, 'West': 0, 'Coastal': 0, 'South': 1.4020414201004432, 'Panhandle': 0}, 'South': {'Northeast': 0, 'West': 2.1300315134653554, 'Coastal': 5.135916026569675, 'South': 0, 'Panhandle': 0}, 'Panhandle': {'Northeast': 29.532656061631194, 'West': 5.512386004954685, 'Coastal': 0, 'South': 0, 'Panhandle': 0}}",1.217961069,111.3140571,44.91584526,3.053267657,226.4115854,386.9127165,8747.9997,22268.0325,2460,0,3527.449116,650,3695.9001,0,399.4,10273.6972,2504,15261.8,2704,0,2047.4006,5495.0005,22086.1515,0,263.7,1768.8,0,359,0,0,6067.452684
3,1295.240742,11618.59643,2292.866007,144.1358442,587.1080485,0,538.7239724,14.54991485,0,2.779819395,4186.07994,89031.8843,154.8588062,17397.0002,66470.8841,5164,663.1,25254.7996,93217.96424,"{'Northeast': {'Northeast': 0, 'West': 2.201726503441707, 'Coastal': 4.303034501988251, 'South': 0.0, 'Panhandle': 0.913740214013179}, 'West': {'Northeast': 6.005966200250613, 'West': 0, 'Coastal': 0, 'South': 27.80899581347031, 'Panhandle': 1.4128682717407572}, 'Coastal': {'Northeast': 4.112178827591626, 'West': 0, 'Coastal': 0, 'South': 6.744489980285832, 'Panhandle': 0}, 'South': {'Northeast': 0, 'West': 1.7051310771258572, 'Coastal': 2.0382971060431974, 'South': 0, 'Panhandle': 0}, 'Panhandle': {'Northeast': 29.978735134989897, 'West': 13.181052158774111, 'Coastal': 0, 'South': 0, 'Panhandle': 0}}",1.217961069,119.7195647,45.05909627,1.194226741,225.0698026,392.2606513,8747.9997,22268.0325,2460,0,3664.692774,650,3695.9001,0,399.4,10273.6972,2504,18061.8,2704,0,2047.4006,5495.0005,22086.1515,0,263.7,1768.8,0,359,0,0,7500.209026
4,1909.559287,11285.01077,2320.651481,205.3142072,1031.743882,0,695.3775958,13.66275646,0,1.121463473,4657.06494,94306.4343,168.775052,17397.0002,71745.4341,5164,663.1,28394.6996,98963.49924,"{'Northeast': {'Northeast': 0, 'West': 0.5254867472705305, 'Coastal': 2.0489512169775166, 'South': 0.0, 'Panhandle': 0.3230952703289616}, 'West': {'Northeast': 5.469538649844036, 'West': 0, 'Coastal': 0, 'South': 29.756270972480465, 'Panhandle': 1.6381641986364772}, 'Coastal': {'Northeast': 10.403867962684368, 'West': 0, 'Coastal': 0, 'South': 11.337172509447557, 'Panhandle': 0}, 'South': {'Northeast': 0, 'West': 2.1398343948359355, 'Coastal': 1.0221985219030907, 'South': 0, 'Panhandle': 0}, 'Panhandle': {'Northeast': 41.89725692385266, 'West': 17.986629731058756, 'Coastal': 0, 'South': 0, 'Panhandle': 0}}",1.217961069,136.7780244,44.90048418,0.426605864,214.2667641,397.5898396,8747.9997,22268.0325,2460,0,3664.692774,650,3080.9001,0,399.4,10273.6972,2504,23951.35,2704,0,2047.4006,5495.0005,22086.1515,0,263.7,1768.8,0,359,0,0,10640.10903
5,768.916218,10847.30077,2343.182547,262.7244495,263.7476857,0,492.3258868,12.84264549,0,56.41270811,6020.96994,98101.4343,0,17397.0002,75540.4341,5164,2151.3,31534.5996,104122.4042,"{'Northeast': {'Northeast': 0, 'West': 0.9235395868303258, 'Coastal': 5.110661821447519, 'South': 0.0, 'Panhandle': 0.4585634746140806}, 'West': {'Northeast': 3.952664816353732, 'West': 0, 'Coastal': 0, 'South': 36.044938002368944, 'Panhandle': 0.9067225709162645}, 'Coastal': {'Northeast': 7.577615195031388, 'West': 0, 'Coastal': 0, 'South': 9.975075484371407, 'Panhandle': 0}, 'South': {'Northeast': 0, 'West': 0.904715339751509, 'Coastal': 1.7521916746565835, 'South': 0, 'Panhandle': 0}, 'Panhandle': {'Northeast': 40.36180363685009, 'West': 21.74677700402305, 'Coastal': 0, 'South': 0, 'Panhandle': 0}}",4.146836453,151.340995,43.97990345,0.149835606,203.5939518,403.2115223,8747.9997,26268.0325,2460,0,6078.133655,650,3080.9001,0,1887.6,10273.6972,2504,23746.35,2704,0,2047.4006,5495.0005,22086.1515,0,263.7,1936.771268,0,359,0,0,11198.59688
1,Coastal,South,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Coastal,Northeast,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,South,West,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,South,West,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,West,Northeast,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
