x1,x2
1.0,25.0
2.0,33.0
3.0,35.0
4.0,26.0
5.0,23.0
6.0,37.0
7.0,39.0
8.0,11.0
9.0,27.0
10.0,11.0
11.0,21.0
12.0,31.0
13.0,29.0
14.0,17.0
