x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15
1.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0
2.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0
3.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0
4.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0
5.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0
6.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0
7.0,0.0,0.00834124,5.765e-5,0.00080323,0.00023959,0.00764175,2.465e-5,0.01126861,0.01167059,-0.0,0.0048445,0.00046476,0.00766788,0.00119334
8.0,0.0161968,0.10353143,0.01416757,0.03459705,0.02208521,0.09940177,0.02913729,0.11813004,0.1109444,0.00667059,0.065703,0.0326078,0.08981011,0.03347482
9.0,0.09526136,0.28842395,0.10534206,0.20341939,0.14197211,0.26216983,0.1766245,0.29502476,0.27436511,0.14707229,0.19827527,0.18999892,0.25780167,0.18660595
10.0,0.21428015,0.4350488,0.20080822,0.37190056,0.29334063,0.43304094,0.35313922,0.46600411,0.44048705,0.32201612,0.33392365,0.37776099,0.41084339,0.37466541
11.0,0.29679919,0.58332649,0.31229124,0.50109429,0.43192352,0.55153732,0.502826,0.61975166,0.55934725,0.51686764,0.43501724,0.5591217,0.54370919,0.46813131
12.0,0.35505062,0.63699004,0.38812386,0.57772749,0.50515074,0.63088984,0.57176632,0.69048486,0.6335514,0.66282891,0.42038253,0.61405962,0.6009572,0.52159488
13.0,0.35050556,0.68427484,0.4474518,0.6369852,0.58582855,0.65076889,0.59744897,0.75947058,0.61826976,0.73762354,0.5133475,0.64223381,0.62550081,0.57916666
14.0,0.34339376,0.65482414,0.4394482,0.61801415,0.54102983,0.61444041,0.57836465,0.70582977,0.63495277,0.7158658,0.57044921,0.65106775,0.60344619,0.53293468
15.0,0.33693586,0.61247028,0.4185346,0.54434686,0.52711246,0.5860178,0.50840002,0.64983612,0.6015933,0.65561533,0.48316539,0.61485081,0.56451825,0.48437031
16.0,0.27326519,0.51108026,0.34964446,0.43142844,0.42283687,0.48800578,0.41525605,0.55384305,0.48966977,0.52330589,0.41757407,0.4528841,0.45786143,0.43206304
17.0,0.177366,0.36013946,0.24186007,0.26828872,0.27754549,0.39541674,0.27478846,0.41838986,0.37819559,0.34119559,0.28618719,0.29352509,0.34357904,0.27395237
18.0,0.06819742,0.21376129,0.1044628,0.10058056,0.10977622,0.23065761,0.11882183,0.21706445,0.20302785,0.13191362,0.16273984,0.09742101,0.2074768,0.11165596
19.0,0.00814992,0.07309286,0.00971939,0.01299373,0.0100802,0.06791647,0.01313114,0.06629347,0.06172592,0.00227794,0.03883991,0.01124319,0.05425838,0.01917711
20.0,0.0,0.00305959,-0.0,0.00034378,0.0,0.00278435,-0.0,0.00094717,0.00246647,-0.0,0.00018132,-0.0,0.00209221,0.00040392
21.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0
22.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0
23.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0
24.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0
