x1,x2
1.0,38.0
2.0,37.0
3.0,23.0
4.0,31.0
5.0,11.0
6.0,32.0
7.0,36.0
8.0,41.0
9.0,36.0
10.0,21.0
11.0,28.0
12.0,31.0
