x1,x2
1.0,20.0
2.0,15.0
3.0,29.0
4.0,25.0
5.0,35.0
6.0,29.0
7.0,35.0
8.0,14.0
9.0,22.0
10.0,28.0
11.0,20.0
12.0,12.0
13.0,22.0
14.0,27.0
15.0,32.0
