,1,2,3,4,5,6,7,8
1:00,11490.00,8008.00,9081.00,11000.00,8228.00,8078.00,8173,12504
2:00,11036.00,7868.00,8897.00,10530.00,8016.00,7882.00,7890,11991
3:00,10731.00,7763.00,8847.00,10204.00,7908.00,7738.00,7761,11704
4:00,10555.00,7762.00,8836.00,10126.00,7958.00,7697.00,7711,11486
5:00,10592.00,7949.00,9026.00,10105.00,8192.00,7838.00,7868,11582
6:00,10983.00,8572.00,9743.00,10237.00,8857.00,8540.00,8558,11710
7:00,11521.00,9373.00,10868.00,10491.00,9887.00,9482.00,9451,11786
8:00,12025.00,9449.00,11070.00,10641.00,10142.00,9547.00,9574,12602
9:00,12978.00,9777.00,10909.00,11263.00,10101.00,9768.00,9885,13802
10:00,13943.00,10181.00,10789.00,12013.00,10282.00,10126.00,10385,14812
11:00,14892.00,10636.00,10705.00,12719.00,10465.00,10581.00,10891,15858
12:00,15831.00,10883.00,10381.00,13412.00,10580.00,10850.00,11207,16516
13:00,16556.00,10987.00,10204.00,14210.00,10688.00,10961.00,11269,16946
14:00,17184.00,11140.00,10132.00,14934.00,10835.00,11177.00,11381,17213
15:00,17617.00,11258.00,10040.00,15545.00,10839.00,11445.00,11634,17441
16:00,17906.00,11280.00,9984.00,15606.00,10817.00,11448.00,11657,17443
17:00,17953.00,11185.00,9999.00,15337.00,10852.00,11390.00,11551,17139
18:00,17730.00,11304.00,10163.00,15049.00,11017.00,11358.00,11458,16793
19:00,17133.00,11571.00,10620.00,14566.00,11314.00,11522.00,11517,16200
20:00,16448.00,11373.00,10579.00,14026.00,11241.00,11249.00,11114,15826
21:00,15929.00,11084.00,10386.00,13825.00,10996.00,10895.00,10675,15445
22:00,15559.00,10440.00,10063.00,13537.00,10487.00,10169.00,10211,14693
23:00,14640.00,9609.00,9624.00,12915.00,9689.00,9215.00,9481,13764
24:00,13603.00,8891.00,9092.00,12087.00,8881.00,8507.00,8820,12990
