Year,coal-igcc-ccs-new,coal-igcc-new,csp-new,ng-cc-ccs-new,ng-cc-new,ng-ct-new,nuc-st-new,pv-new,wind-new
1,5997000,3661000,7191000,2569000,1079000,710000,6317000,1331000,1319000
old,5742420,3383321,5763538,1968836,959316,819821,4953812,1340621,1707263
,,,,,,,,,
