x1,x2,x3,x4
0.50438899,0.58424532,0.48764092,0.51480438
0.41261818,0.54533169,0.47249762,0.45460438
0.36620343,0.52785174,0.43848746,0.37076562
0.31596242,0.48673403,0.39412667,0.31964677
0.25969313,0.43902905,0.37995809,0.28060469
0.23776495,0.43300836,0.36346152,0.2328176
0.20166303,0.41151443,0.33870482,0.22128229
0.10893838,0.38229159,0.33754086,0.14684875
0.11106364,0.33846294,0.31926733,0.12085188
0.12529202,0.29230463,0.27948323,0.13421687
0.13009162,0.2825705,0.24963426,0.15260927
0.15573152,0.28868925,0.27356323,0.14904354
0.15886919,0.30705169,0.28312059,0.14089469
0.15819444,0.33026169,0.31760125,0.17573896
0.18962869,0.33626239,0.31168403,0.1785076
0.2276702,0.35393239,0.34131168,0.23694042
0.30133495,0.35684985,0.34066653,0.30530417
0.35038404,0.36802164,0.35864799,0.32327333
0.40390758,0.41338174,0.39603102,0.42092906
0.5127303,0.49752836,0.47987967,0.47166031
0.60796919,0.55490786,0.55506719,0.6000676
0.69362071,0.56902159,0.5632004,0.66878479
0.65398758,0.59530289,0.60024073,0.6652424
0.60329303,0.55916861,0.57032059,0.5724749
