x1,x2,x3,x4
0.20136354,0.33411448,0.3804538,0.24711479
0.19212626,0.33869025,0.36673149,0.2335976
0.18514939,0.34179572,0.36750548,0.19302188
0.1658999,0.34134219,0.34521195,0.17414125
0.14986465,0.32339483,0.33006323,0.16207615
0.12517778,0.32886164,0.3096499,0.14359937
0.10477192,0.32342622,0.30650086,0.1447851
0.09150061,0.30646637,0.2934604,0.12302042
0.09502828,0.26406308,0.27127287,0.1298675
0.10499333,0.23921652,0.23395729,0.10045719
0.10193717,0.24057886,0.22308825,0.12733208
0.11992828,0.25704836,0.23874495,0.10212479
0.1590897,0.28421562,0.27355941,0.15171531
0.1781499,0.31641204,0.31912053,0.14829719
0.22996242,0.32999433,0.34076805,0.20971917
0.28726242,0.36674602,0.38585122,0.28595208
0.33558141,0.36973617,0.41365578,0.34353125
0.38552576,0.37507363,0.42551063,0.37829979
0.4288998,0.40927194,0.40551201,0.41551313
0.43821606,0.39967905,0.38982785,0.45803125
0.42170576,0.39863955,0.3649233,0.42673552
0.36568071,0.36545289,0.34301894,0.38249031
0.32089384,0.35436318,0.34436172,0.30202854
0.26919758,0.35514403,0.34488554,0.25330062
