x1,x2,x3,x4
-0.0,0.04477612,0.93069307,0.796875
-0.0,0.04477612,0.93069307,0.796875
-0.0,0.05223881,0.92079208,0.8125
-0.0,0.02985075,0.89108911,0.78125
-0.0,0.02985075,0.91089109,0.75
-0.0,0.03731343,0.92079208,0.765625
-0.0,0.03731343,0.9009901,0.765625
-0.0,0.02985075,0.92079208,0.765625
-0.0,0.03731343,0.89108911,0.71875
-0.0,0.03731343,0.88118812,0.71875
-0.0,0.03731343,0.8019802,0.765625
-0.0,0.02238806,0.57425743,0.75
-0.0,0.00746269,0.43564356,0.625
-0.0,0.0,0.34653465,0.3125
-0.0,0.05223881,0.15841584,-0.0
0.24242424,0.20149254,0.0,-0.0
0.48484848,0.21641791,0.0,-0.0
0.68181818,0.2761194,0.0,-0.0
0.74242424,0.35820896,0.0,-0.0
0.75757576,0.47761194,0.0,-0.0
0.75757576,0.63432836,0.0,-0.0
0.77272727,0.67910448,0.0,-0.0
0.81818182,0.70895522,0.0,-0.0
0.81818182,0.73134328,0.0,-0.0
