x1,x2,x3,x4
0.0,0.01492537,0.96039604,0.859375
0.0,0.01492537,0.97029703,0.90625
0.0,0.02238806,0.97029703,0.828125
0.0,0.02985075,0.97029703,0.859375
0.0,0.02238806,0.97029703,0.90625
0.0,0.02238806,0.97029703,0.875
0.0,0.02238806,0.97029703,0.875
0.0,0.03731343,0.98019802,0.90625
0.0,0.05970149,0.97029703,0.84375
0.0,0.02985075,0.94059406,0.78125
0.0,0.02985075,0.92079208,0.765625
0.0,0.03731343,0.71287129,0.78125
0.0,0.02238806,0.46534653,0.703125
0.0,0.00746269,0.37623762,0.203125
0.0,0.0,0.07920792,0.0
0.12121212,0.2238806,0.0,0.0
0.5,0.32835821,0.0,0.0
0.77272727,0.35074627,0.0,0.0
0.83333333,0.52238806,0.0,0.0
0.84848485,0.69402985,0.0,0.0
0.84848485,0.70149254,0.0,0.0
0.83333333,0.70895522,0.0,0.0
0.83333333,0.74626866,0.0,0.0
0.84848485,0.76119403,0.0,0.0
