x1,x2,x3,x4,x5
1.0,0.0,-0.0,-0.0,-0.0
2.0,0.0,-0.0,-0.0,-0.0
3.0,0.0,-0.0,-0.0,-0.0
4.0,0.0,-0.0,-0.0,-0.0
5.0,0.0,-0.0,-0.0,-0.0
6.0,0.0,-0.0,-0.0,-0.0
7.0,0.0009036,0.00921138,0.00845354,0.00056074
8.0,0.02237943,0.09323604,0.08940063,0.01996505
9.0,0.14161299,0.25797234,0.24733748,0.13879038
10.0,0.29588013,0.42501562,0.41315519,0.30122997
11.0,0.42319827,0.56228252,0.54585202,0.4270701
12.0,0.5339363,0.64281413,0.64263391,0.51930635
13.0,0.57050064,0.71659563,0.68531749,0.57947161
14.0,0.56857273,0.70190624,0.69760462,0.60785717
15.0,0.53460338,0.65291339,0.65812939,0.56429638
16.0,0.45445378,0.5527598,0.54017127,0.4531296
17.0,0.31436002,0.4268003,0.39838513,0.31832966
18.0,0.13299951,0.25112609,0.23600771,0.12585145
19.0,0.02270092,0.08739372,0.08524333,0.01771484
20.0,0.00025155,0.00853486,0.00890595,9.382e-5
21.0,0.0,-0.0,-0.0,-0.0
22.0,0.0,-0.0,-0.0,-0.0
23.0,0.0,-0.0,-0.0,-0.0
24.0,0.0,-0.0,-0.0,-0.0
