x1,x2,x3,x4,x5,x6
0.65217391,-0.0,0.61290323,0.62162162,0.01538462,0.0
0.63768116,-0.0,0.69354839,0.59459459,0.01538462,0.0
0.65217391,-0.0,0.59677419,0.51351351,0.01538462,0.0
0.68115942,-0.0,0.64516129,0.48648649,-0.0,0.01428571
0.66666667,-0.0,0.62903226,0.54054054,-0.0,0.0
0.65217391,-0.0,0.59677419,0.59459459,-0.0,0.0
0.63768116,-0.0,0.61290323,0.62162162,-0.0,0.0
0.60869565,-0.0,0.61290323,0.62162162,-0.0,0.0
0.60869565,-0.0,0.59677419,0.59459459,-0.0,0.0
0.63768116,-0.0,0.64516129,0.56756757,-0.0,0.0
0.47826087,-0.0,0.62903226,0.37837838,-0.0,0.0
0.37681159,-0.0,0.51612903,0.18918919,-0.0,0.0
0.24637681,-0.0,0.22580645,0.10810811,-0.0,0.0
0.0,-0.0,-0.0,0.02702703,-0.0,0.0
0.0,0.01612903,-0.0,-0.0,0.09230769,0.04285714
0.0,0.24193548,-0.0,-0.0,0.32307692,0.17142857
0.0,0.51612903,-0.0,-0.0,0.33846154,0.22857143
0.0,0.5483871,-0.0,-0.0,0.4,0.31428571
0.0,0.61290323,-0.0,-0.0,0.49230769,0.42857143
0.0,0.64516129,-0.0,-0.0,0.6,0.45714286
0.0,0.64516129,-0.0,-0.0,0.63076923,0.45714286
0.0,0.64516129,-0.0,-0.0,0.64615385,0.47142857
0.0,0.59677419,-0.0,-0.0,0.6,0.45714286
0.0,0.61290323,-0.0,-0.0,0.58461538,0.45714286
