Year,coal-igcc-ccs-new,coal-igcc-new,csp-new,ng-cc-ccs-new,ng-cc-new,ng-ct-new,nuc-st-new,pv-new,wind-new
1,95360,64000,85030,31070,13000,10000,124000,16000,38000
2,95830.52632,64315.78947,83072.07237,31070,13000,10052.63158,124473.6842,15631.57895,37631.57895
3,96301.05263,64631.57895,81114.14474,31070,13000,10105.26316,124947.3684,15263.15789,37263.15789
4,96771.57895,64947.36842,79156.21711,31070,13000,10157.89474,125421.0526,14894.73684,36894.73684
5,97242.10526,65263.15789,77198.28947,31070,13000,10210.52632,125894.7368,14526.31579,36526.31579
6,97712.63158,65578.94737,75240.36184,31070,13000,10263.15789,126368.4211,14157.89474,36157.89474
7,98183.15789,65894.73684,73282.43421,31070,13000,10315.78947,126842.1053,13789.47368,35789.47368
8,98653.68421,66210.52632,71324.50658,31070,13000,10368.42105,127315.7895,13421.05263,35421.05263
9,99124.21053,66526.31579,69366.57895,31070,13000,10421.05263,127789.4737,13052.63158,35052.63158
10,99594.73684,66842.10526,67408.65132,31070,13000,10473.68421,128263.1579,12684.21053,34684.21053
11,100065.2632,67157.89474,65450.72368,31070,13000,10526.31579,128736.8421,12315.78947,34315.78947
12,100535.7895,67473.68421,63492.79605,31070,13000,10578.94737,129210.5263,11947.36842,33947.36842
13,101006.3158,67789.47368,61534.86842,31070,13000,10631.57895,129684.2105,11578.94737,33578.94737
14,101476.8421,68105.26316,59576.94079,31070,13000,10684.21053,130157.8947,11210.52632,33210.52632
15,101947.3684,68421.05263,57619.01316,31070,13000,10736.84211,130631.5789,10842.10526,32842.10526
16,102417.8947,68736.84211,55661.08553,31070,13000,10789.47368,131105.2632,10473.68421,32473.68421
17,102888.4211,69052.63158,53703.15789,31070,13000,10842.10526,131578.9474,10105.26316,32105.26316
18,103358.9474,69368.42105,51745.23026,31070,13000,10894.73684,132052.6316,9736.842105,31736.84211
19,103829.4737,69684.21053,49787.30263,31070,13000,10947.36842,132526.3158,9368.421053,31368.42105
20,104300,70000,47829.375,31070,13000,11000,133000,9000,31000
