x1,x2,x3,x4,x5,x6,x7
1.0,8360.10717969,10952.50684962,8404.89785279,8323.91740161,8260.32852759,11020.33162161
2.0,7817.35868081,10216.45109026,7835.61704594,7800.74725796,7759.05975044,10277.80333377
3.0,7487.00453634,9696.65307098,7499.31485212,7511.25036518,7458.35733236,9740.812337
4.0,7301.35028698,9361.32489097,7323.33054174,7367.50196156,7309.5209906,9391.26762448
5.0,7253.06100385,9230.96908884,7290.09914972,7377.39174529,7297.37238494,9235.73703899
6.0,7450.74171341,9457.95334174,7505.28218188,7678.95311355,7549.63605274,9434.3603789
7.0,8027.08886281,9956.38954623,8106.91660359,8392.8650084,8198.48101772,9889.26567105
8.0,8667.92593262,10176.02122874,8862.10971792,9041.3562961,8856.53500974,10088.95022603
9.0,8943.29172959,10781.20283784,9238.93688967,9299.29116548,9108.62382684,10711.93627318
10.0,9179.65899095,11697.15780318,9514.31246202,9527.92788773,9312.67832945,11644.30917761
11.0,9486.72310435,12709.67890883,9848.28467884,9778.59823731,9546.00540226,12683.38246063
12.0,9756.17137801,13666.91801704,10104.41258264,9982.33588729,9732.17063956,13649.21057404
13.0,9968.53681506,14537.89180458,10296.36940695,10142.85382337,9873.55101778,14520.5882745
14.0,10172.68982174,15307.48611997,10466.95147494,10314.70629894,10019.62468527,15288.87037306
15.0,10356.0975644,15921.92266566,10600.16612745,10475.26223306,10156.69843883,15885.4677128
16.0,10500.86641192,16345.10684766,10701.41095232,10607.39427319,10286.4010895,16299.72866791
17.0,10593.29656598,16556.74316663,10760.49728535,10701.73762281,10381.89830754,16522.03331769
18.0,10585.27529406,16458.09695017,10769.01988737,10703.20317577,10379.39035577,16437.82315191
19.0,10557.11729973,16031.76286466,10783.13245907,10673.61596476,10386.23316423,16009.22572506
20.0,10766.33019179,15351.15640649,11073.18492768,10830.55757697,10646.98204944,15345.45040036
21.0,10772.89321705,14917.46344883,11154.43853417,10868.75383075,10636.49739062,14922.36090257
22.0,10429.04054808,14374.62705957,10889.82345226,10528.95228085,10293.84824826,14385.73202851
23.0,9826.0374875,13306.77952591,10345.57647445,9870.35831896,9686.8730643,13317.69454039
24.0,9015.40624533,12091.7227606,9591.44173864,9025.2158534,8886.82638845,12097.92412888
